,Trip Names,Prices ,Discounted_Prices ,Discount,Duration
0,Leh Ladakh Backpacking Bike Trip,22500,18000 per person,4500,6 Days 5 Nights
1,Spiti Valley Circuit Trip,23000,20000 per person,3000,7 Days 6 Nights
2,SM Himachal Backpacking,18000,16000 per person,2000,5 Days 4 Nights
3,SM Manali Sissu Kasol,8500,7500 per person,1000,3 Nights 4 Days
4,Leh Ladakh With Uming La & Hanle,N/A,25999 per person,0,8 Days 7 Nights
5,NY Kashmir Backpacking,N/A,25999 per person,0,6 Days 5 Nights
6,NY Meghalaya Backpacking,26999,25999 per person,1000,6 Days 5 Nights
7,NY Kasol Kheerganga Manali,N/A,13999 per person,0,4 Days 3 Nights
8,NY Uttarakhand Backpacking,N/A,17999 per person,0,5 Days 4 Nights
9,Uttarakhand Backpacking- Rishikesh Auli Chopta,N/A,14999 per person,0,4 Nights 5 Days
10,Manali Sissu Kasol,8500,8000 per person,500,3 Nights 4 Days
11,Kashmir Backpacking,N/A,22999 per person,0,6 Days 5 Nights
12,Himachal Backpacking Summer Special,19999,14999 per person,5000,5 Days 4 Nights
13,Leh Srinagar Backpacking Bike Trip,33500,28500 per person,5000,8 Days 7 Nights
14,Manali Leh Srinagar Backpacking Bike Trip,N/A,N/A,0,10 Days 9 Nights
15,Fantastic Goa,N/A,13000 per person,0,5 Days 4 Nights
16,Manali Kasol Jibhi,N/A,15000 per person,0,5 Days 4 Nights
17,Spiti Valley Circuit Trip with Manali,20000,18000 per person,2000,7 Days 6 Nights
18,Ny Shimla Manali,17999,16999 per person,1000,5 Days 4 Nights
19,NY Himachal Backpacking,N/A,17999 per person,0,5 Days 4 Nights
20,Manali Kasol Jibhi,N/A,15000 per person,0,5 Days 4 Nights
21,Spiti Valley Circuit Trip with Manali,20000,18000 per person,2000,7 Days 6 Nights
22,Ny Shimla Manali,17999,16999 per person,1000,5 Days 4 Nights
23,NY Himachal Backpacking,N/A,17999 per person,0,5 Days 4 Nights
24,Leh Ladakh Backpacking Bike Trip,22500,18000 per person,4500,6 Days 5 Nights
25,Spiti Valley Circuit Trip,23000,20000 per person,3000,7 Days 6 Nights
26,SM Himachal Backpacking,18000,16000 per person,2000,5 Days 4 Nights
27,SM Manali Sissu Kasol,8500,7500 per person,1000,3 Nights 4 Days
28,Leh Ladakh With Uming La & Hanle,N/A,25999 per person,0,8 Days 7 Nights
29,NY Kashmir Backpacking,N/A,25999 per person,0,6 Days 5 Nights
30,NY Meghalaya Backpacking,26999,25999 per person,1000,6 Days 5 Nights
31,NY Kasol Kheerganga Manali,N/A,13999 per person,0,4 Days 3 Nights
32,NY Uttarakhand Backpacking,N/A,17999 per person,0,5 Days 4 Nights
33,Uttarakhand Backpacking- Rishikesh Auli Chopta,N/A,14999 per person,0,4 Nights 5 Days
34,Manali Sissu Kasol,8500,8000 per person,500,3 Nights 4 Days
35,Kashmir Backpacking,N/A,22999 per person,0,6 Days 5 Nights
36,Himachal Backpacking Summer Special,19999,14999 per person,5000,5 Days 4 Nights
37,Leh Srinagar Backpacking Bike Trip,33500,28500 per person,5000,8 Days 7 Nights
38,Manali Leh Srinagar Backpacking Bike Trip,N/A,N/A,0,10 Days 9 Nights
39,Fantastic Goa,N/A,13000 per person,0,5 Days 4 Nights
40,Manali Kasol Jibhi,N/A,15000 per person,0,5 Days 4 Nights
41,Spiti Valley Circuit Trip with Manali,20000,18000 per person,2000,7 Days 6 Nights
42,Ny Shimla Manali,17999,16999 per person,1000,5 Days 4 Nights
43,NY Himachal Backpacking,N/A,17999 per person,0,5 Days 4 Nights
44,Leh Ladakh Backpacking Bike Trip,22500,18000 per person,4500,6 Days 5 Nights
45,Spiti Valley Circuit Trip,23000,20000 per person,3000,7 Days 6 Nights
46,SM Himachal Backpacking,18000,16000 per person,2000,5 Days 4 Nights
